epoch,loss
1,2.3184
2,2.2482
3,2.2078
4,2.0049
5,1.9759
6,2.017
7,1.9564
8,1.9416
9,2.3879
10,1.9533
11,1.9036
12,1.8591
13,1.8943
14,2.0356
15,1.8238
16,1.8303
17,1.9174
18,1.8256
19,1.857
20,2.202
21,1.8274
22,1.8013
23,1.8722
24,1.7956
25,2.1582
26,1.8429
27,1.673
28,2.1691
29,1.9397
30,1.7842
31,1.7747
32,1.6984
33,1.8303
34,1.8449
35,1.7931
36,1.86
37,1.7294
38,1.8112
39,1.7231
40,1.6713
41,2.7566
42,1.7599
43,1.7148
44,1.7219
45,1.7429
46,2.353
47,1.8067
48,1.7708
49,1.7289
50,2.1827
51,1.8769
52,1.7351
53,1.6186
54,1.752
55,1.7383
56,1.7801
57,1.7105
58,1.7574
59,2.4274
60,2.2385
61,1.6774
62,1.6774
63,1.7207
64,1.5921
65,1.9633
66,1.7614
67,1.5384
68,1.5413
69,1.5208
70,1.555
71,1.4842
72,1.5009
73,1.4958
74,1.5215
75,2.1412
76,1.5431
77,1.532
78,1.4659
79,1.4422
80,1.6191
81,1.9649
82,1.5131
83,1.5019
84,1.5128
85,1.3945
86,1.7506
87,1.5416
88,1.3467
89,1.412
91,1.9169
92,1.5654
93,1.47
94,1.4769
95,1.4037
96,1.307
97,1.4321
98,2.0991
99,1.5259
100,1.5019
101,1.3731
102,1.4165
103,2.9274
104,1.422
105,1.4683
106,1.3687
107,1.4233
109,1.3919
110,1.3905
111,1.3979
112,1.4969
113,1.4558
114,1.3672
115,1.3558
116,1.3141
117,1.6708
118,1.3897
119,1.4184
120,2.2967
121,1.6046
122,1.3718
123,1.4578
124,1.3582
125,2.0286
126,1.4702
127,1.5155
128,1.4651
129,1.3779
130,1.3542
131,1.4606
132,1.4073
133,1.678
134,1.3549
135,1.417
136,1.4283
137,1.5359
138,1.414
139,1.4355
140,1.4698
141,1.4035
142,1.4097
143,1.9789
144,1.5379
145,1.3778
146,1.3244
147,1.4138
148,1.3254
149,1.3757
150,1.5023
151,1.446
152,1.3554
153,1.3631
154,2.2205
155,1.4417
156,1.3731
157,1.3637
158,1.3253
159,1.6205
160,1.3386
161,1.2829
162,1.7399
163,1.3405
164,1.3831
165,1.3373
166,1.3939
167,1.3432
168,1.9439
169,1.3629
170,1.3311
171,1.3266
172,1.3296
173,1.3484
174,2.188
175,1.6592
176,1.4343
177,1.3688
178,1.4212
179,1.3244
180,1.2867
181,2.7861
182,1.5436
183,1.3261
184,1.3137
185,1.3913
186,2.7601
187,1.5119
188,1.3734
189,1.3308
190,1.2945
191,1.3322
192,1.3749
193,1.4285
194,3.9056
195,1.632
196,1.309
197,1.481
198,1.4819
199,1.2924
200,1.2761
201,1.3036
202,1.3539
203,1.356
204,2.8126
205,1.3808
206,1.3551
207,1.33
208,1.391
209,1.5024
210,1.3388
211,1.4662
212,1.2752
213,1.3155
214,1.3355
215,1.862
216,1.454
217,1.3124
218,1.3387
219,1.2896
220,1.3813
221,1.3578
222,2.0559
223,1.4536
224,1.3762
225,1.0834
226,0.902
227,0.7202
228,0.64
229,1.3784
230,0.6496
231,0.6463
232,0.4872
233,0.4482
234,0.3807
235,0.3769
236,0.3462
237,0.3177
238,0.3061
239,0.2961
240,0.2766
241,0.2596
242,0.3114
243,0.2777
244,2.6076
245,0.5004
246,0.4162
247,0.3362
248,0.2772
249,0.2743
250,1.4119
251,0.3392
252,0.231
253,0.2738
254,1.7364
255,1.096
256,0.3838
257,0.3181
258,0.2752
259,0.2438
260,0.1857
261,4.1032
262,3.2306
263,2.4486
264,2.165
265,1.1975
266,0.6522
267,0.4883
268,1.3198
269,0.454
270,0.3964
271,0.2781
272,0.2887
273,0.3255
274,0.2774
275,0.2261
276,0.2295
277,0.2385
278,0.3902
279,0.2529
280,0.25
281,0.1984
282,0.2342
283,0.2336
284,1.609
285,0.5317
286,0.2321
287,0.2271
288,0.2321
289,0.2097
290,0.2362
291,0.2194
292,0.2005
293,0.203
294,1.3382
295,0.3819
296,0.1749
297,0.1996
298,0.1918
299,0.1689
300,0.1591
301,0.1699
302,2.28
303,0.325
304,0.2149
305,0.1904
306,0.1937
307,0.1908
308,0.2339
309,0.1869
310,0.5173
311,0.21
312,0.1929
313,0.1875
314,0.181
315,0.2006
316,0.1989
317,2.9262
318,3.992
319,3.5822
320,2.4031
321,1.3261
322,0.9481
323,4.0895
324,3.0039
325,2.4516
326,2.2123
327,1.9885
328,1.9762
329,1.9034
330,1.8024
331,3.0433
332,1.8392
333,1.6912
334,1.6711
335,1.7663
336,1.5973
337,1.5984
338,1.6507
339,2.1594
340,1.8459
341,1.5825
342,1.533
343,1.5543
344,1.5936
345,1.534
346,3.5658
347,1.4476
348,1.5349
349,1.3756
350,1.2238
351,1.3406
352,1.1046
353,0.8576
354,0.7431
355,0.595
356,3.293
357,1.6536
358,1.0948
359,0.8353
360,1.708
361,1.1003
362,0.7359
363,0.6131
364,0.9703
365,0.4652
366,0.4792
367,0.4289
368,0.4075
369,0.3735
370,0.3173
371,0.3153
372,0.3565
373,0.3174
374,0.3334
375,0.258
376,0.2581
377,0.2644
378,1.1825
379,0.3871
380,0.2951
381,0.311
382,0.2694
383,0.2146
384,0.2727
385,0.2702
386,0.2561
387,0.1946
388,0.2063
389,1.4822
390,0.2591
391,0.2503
392,0.2093
393,0.2416
394,0.2114
395,0.2091
396,0.1547
397,0.7493
398,0.2122
399,0.2185
400,0.1266
401,0.2406
402,0.743
403,0.2441
404,0.2056
405,0.1913
406,0.1719
407,0.1762
408,0.1787
409,0.188
410,0.1795
411,0.4443
412,0.2047
413,0.2087
414,0.2222
415,0.1913
416,0.161
417,0.1498
418,0.1716
419,0.23
420,0.1466
421,0.1632
422,1.3623
423,0.2
424,0.2018
425,0.1867
426,0.1678
427,0.1788
428,0.1916
429,0.1567
430,0.176
431,0.1738
432,0.1731
433,0.1777
434,0.1665
435,0.169
436,0.1634
437,0.1948
438,0.1695
439,0.3519
440,0.1799
441,0.181
442,0.1966
443,0.1945
444,0.171
445,1.5656
446,4.0721
447,3.6612
448,2.7183
449,1.9419
450,1.6425
451,1.1387
452,0.8757
453,0.7777
454,1.7179
455,0.5823
456,0.4865
457,0.4793
458,0.491
459,1.4416
460,0.4444
461,0.4342
462,0.429
463,0.4273
464,0.3856
465,0.9799
466,0.6022
467,0.3673
468,0.34
469,0.3121
470,1.3241
471,0.5866
472,0.3535
473,0.3957
474,0.4006
475,0.4383
476,0.3157
477,0.3216
478,1.4661
479,0.5084
480,0.3064
481,0.3513
482,0.3523
483,0.3412
484,0.3823
485,0.3165
486,2.0076
487,1.349
488,0.4106
489,0.3573
490,0.3076
491,0.3273
492,2.5244
493,0.5831
494,0.4339
495,0.3195
496,0.3524
497,0.6877
498,0.4014
499,0.3825
500,0.3014
501,0.3259
502,0.3217
503,0.3502
504,0.2778
505,0.5054
506,0.3348
507,0.3607
508,0.3021
509,0.3399
510,1.4769
511,0.388
512,0.439
513,0.3452
514,0.2934
515,0.3363
516,0.307
517,0.3163
518,0.2778
519,1.2302
520,0.592
521,0.3562
522,0.3211
523,0.3168
524,0.3241
525,0.3221
526,0.2994
527,0.3296
528,2.2004
529,2.8055
530,1.0177
531,3.4242
532,3.1981
533,1.1844
534,0.7081
535,0.5582
